~id,~label,menu_item_id,name,price,description
menuItem_restaurant_000001_01,MenuItem,menuItem_restaurant_000001_01,Menu Item 1 at restaurant_000001,12.93,Delicious food
menuItem_restaurant_000001_02,MenuItem,menuItem_restaurant_000001_02,Menu Item 2 at restaurant_000001,26.19,Delicious food
menuItem_restaurant_000001_03,MenuItem,menuItem_restaurant_000001_03,Menu Item 3 at restaurant_000001,27.34,Delicious food
menuItem_restaurant_000001_04,MenuItem,menuItem_restaurant_000001_04,Menu Item 4 at restaurant_000001,5.48,Delicious food
menuItem_restaurant_000001_05,MenuItem,menuItem_restaurant_000001_05,Menu Item 5 at restaurant_000001,7.59,Delicious food
menuItem_restaurant_000001_06,MenuItem,menuItem_restaurant_000001_06,Menu Item 6 at restaurant_000001,10.36,Delicious food
menuItem_restaurant_000001_07,MenuItem,menuItem_restaurant_000001_07,Menu Item 7 at restaurant_000001,13.4,Delicious food
menuItem_restaurant_000001_08,MenuItem,menuItem_restaurant_000001_08,Menu Item 8 at restaurant_000001,12.48,Delicious food
menuItem_restaurant_000001_09,MenuItem,menuItem_restaurant_000001_09,Menu Item 9 at restaurant_000001,21.09,Delicious food
menuItem_restaurant_000002_01,MenuItem,menuItem_restaurant_000002_01,Menu Item 1 at restaurant_000002,20.52,Delicious food
menuItem_restaurant_000002_02,MenuItem,menuItem_restaurant_000002_02,Menu Item 2 at restaurant_000002,22.27,Delicious food
menuItem_restaurant_000002_03,MenuItem,menuItem_restaurant_000002_03,Menu Item 3 at restaurant_000002,20.02,Delicious food
menuItem_restaurant_000002_04,MenuItem,menuItem_restaurant_000002_04,Menu Item 4 at restaurant_000002,29.73,Delicious food
menuItem_restaurant_000002_05,MenuItem,menuItem_restaurant_000002_05,Menu Item 5 at restaurant_000002,6.12,Delicious food
menuItem_restaurant_000003_01,MenuItem,menuItem_restaurant_000003_01,Menu Item 1 at restaurant_000003,10.21,Delicious food
menuItem_restaurant_000003_02,MenuItem,menuItem_restaurant_000003_02,Menu Item 2 at restaurant_000003,10.66,Delicious food
menuItem_restaurant_000003_03,MenuItem,menuItem_restaurant_000003_03,Menu Item 3 at restaurant_000003,15.98,Delicious food
menuItem_restaurant_000003_04,MenuItem,menuItem_restaurant_000003_04,Menu Item 4 at restaurant_000003,7.93,Delicious food
